project,repo,defect_id,date,evidence_type,evidence_url,commit_sha,defect_class,class_confidence,discovery_venue,venue_confidence,description,evidence_quote,experiment_ruining_proposed,ruining_rationale,fix_files,fix_loc
Hummingbird,JohnYanxinLiu/Hummingbird-AirStack,Hummingbird-001,2026-07-28,commit_msg,https://github.com/JohnYanxinLiu/Hummingbird-AirStack/commit/a1af309b34950ad2cd006265a2ff14ad29515bdf,a1af309b34950ad2cd006265a2ff14ad29515bdf,tf_frame,high,sim_interactive,high,Vehicle read body rotation from the live prim after PhysX overwrote it; frozen spawn transient became a fake 14 deg rest tilt,"That frozen transient was then un-rotated from every attitude report ... PX4 then ""levelled"" an already-level vehicle: tilted thrust, wrong-frame rates, flip within ~2.5 s of liftoff",yes,"Uncaught, the vehicle flips within 2.5 s of every liftoff; on hardware that is a crash rather than a lost sim run.",simulation/isaac-sim/utils/hummingbird/vehicle.py,86+/23-
Hummingbird,JohnYanxinLiu/Hummingbird-AirStack,Hummingbird-002,2026-07-28,commit_msg,https://github.com/JohnYanxinLiu/Hummingbird-AirStack/commit/18280ea588d883b72af393b18d62424f5d8ddaf9,18280ea588d883b72af393b18d62424f5d8ddaf9,logic,high,sim_interactive,high,"mavros_interface mapped cmd->yaw_rate (which carries absolute yaw) into the attitude setpoint, giving PX4 a full-error yaw step during the ground thrust ramp","PX4 received a full-error yaw step during the ground thrust ramp, saturated the mixer diagonals at sub-hover thrust and tipped the vehicle over its landing gear (measured 2026-07-28",yes,Vehicle tips over its gear on every takeoff attempt; interpreting the field as a rate instead caused EKF divergence and a crash.,robot/ros_ws/src/interface/mavros_interface/src/mavros_interface.cpp,45+/2- (whole commit; fixes multiple listed defects)
Hummingbird,JohnYanxinLiu/Hummingbird-AirStack,Hummingbird-003,2026-07-28,commit_msg,https://github.com/JohnYanxinLiu/Hummingbird-AirStack/commit/18280ea588d883b72af393b18d62424f5d8ddaf9,18280ea588d883b72af393b18d62424f5d8ddaf9,logic,high,unknown,low,yaw_ and is_yaw_received_ were declared but never updated because mavros_odometry_sub_ was never created,yaw_/is_yaw_received_ were declared but never updated - mavros_odometry_sub_ was never created.,uncertain,Dead state field found alongside the yaw-step defect; no independent failure was attributed to it.,robot/ros_ws/src/interface/mavros_interface/src/mavros_interface.cpp,45+/2- (whole commit; fixes multiple listed defects)
Hummingbird,JohnYanxinLiu/Hummingbird-AirStack,Hummingbird-004,2026-08-17,commit_msg,https://github.com/JohnYanxinLiu/Hummingbird-AirStack/commit/88d01ee5b4ba6a1c4fca9fb839cfbd257384fcae,88d01ee5b4ba6a1c4fca9fb839cfbd257384fcae,parameter,high,unknown,low,"natnet_ros2 rigid-body id was not env-overridable, so adopting upstream's config reset it and the client silently dropped every mocap frame","a stale id connects fine, creates the publishers, and then drops every frame. No external vision reaches EKF2 and the drone will not hold position or arm.",yes,"A silent total loss of external vision in the mocap room: the drone will not arm, ending the session before it starts.",overrides/hummingbird-real.env;robot/docker/robot-base-docker-compose.yaml;robot/ros_ws/src/perception/natnet_ros2/config/natnet_config.yaml;robot/ros_ws/src/perception/natnet_ros2/launch/natnet_ros2.launch.py,18+/5-
Hummingbird,JohnYanxinLiu/Hummingbird-AirStack,Hummingbird-005,2026-08-17,commit_msg,https://github.com/JohnYanxinLiu/Hummingbird-AirStack/commit/49c56089306755576809ffe8f42fc57566adf7eb,49c56089306755576809ffe8f42fc57566adf7eb,timing_clock,high,sim_interactive,low,"Hummingbird e2e test read the Isaac scene marker immediately after the container reported Running, before a cold scene had written it","a cold Isaac start - Kit, Pegasus, the flat-plane env, then the 45 MB drone USD - takes minutes, so the first run failed on a marker the scene had not written yet",no,A test-harness race that fails fast and cheaply; it does not consume a flight session.,tests/system/test_hummingbird_optitrack_e2e.py,35+/5-
Hummingbird,JohnYanxinLiu/Hummingbird-AirStack,Hummingbird-006,2026-08-17,notes_file,https://github.com/JohnYanxinLiu/Hummingbird-AirStack/blob/b501f9ae9f137ffaa0d9c41677474bb65124f388/.agents/hummingbird-knowledge/notes/environment-traps.md,b501f9ae9f137ffaa0d9c41677474bb65124f388,build,medium,unknown,low,Stale colcon CMake caches against numpy 2.x fail the build; the autonomy stack then never launches and the tmux pane shows only a prompt,Stale colcon CMake caches vs numpy 2.x (2026-08-17): a failed `colcon build` means the autonomy stack never launches and the tmux pane just shows a prompt.,uncertain,The note records it cost real hours; whether it would have surfaced mid-session depends on when the cache went stale.,.agents/hummingbird-knowledge/notes/environment-traps.md,"n/a (documented defect, no isolated fix commit)"
Hummingbird,JohnYanxinLiu/Hummingbird-AirStack,Hummingbird-007,2026-08-18,commit_msg,https://github.com/JohnYanxinLiu/Hummingbird-AirStack/commit/cddf07e4de7e1a34301a9fab91f76a0326ba9790,cddf07e4de7e1a34301a9fab91f76a0326ba9790,parameter,high,sim_interactive,high,"docker-compose VAR=${VAR:-} defined the drone USD path as empty string, so the scene loaded the stock Pegasus iris instead of the Hummingbird",USE_HUMMINGBIRD went false and the scene loaded the stock Pegasus iris instead of hummingbird_grasp.usd. The failure was near-silent,yes,"Near-silent: everything downstream (claw, gripper, Teensy server) is absent, so a whole session is spent flying the wrong drone.",simulation/isaac-sim/docker/docker-compose.yaml;simulation/isaac-sim/launch_scripts/hummingbird_powerline_scene.py,16+/5-
Hummingbird,JohnYanxinLiu/Hummingbird-AirStack,Hummingbird-008,2026-08-18,commit_msg,https://github.com/JohnYanxinLiu/Hummingbird-AirStack/commit/74c443aa473f06374442afde9f84245e44056dc9,74c443aa473f06374442afde9f84245e44056dc9,tf_frame,high,sim_interactive,high,"Pegasus attach_camera_to_drone hardcodes the iris body prim; the Hummingbird has none, so createJoint left body0 empty and welded all ZED cameras to the world origin","An empty body0 means WORLD, so each camera was welded to the world origin.",uncertain,"Cameras are left behind when the drone flies; visible immediately, but it invalidates any perception data recorded in that session.",simulation/isaac-sim/launch_scripts/hummingbird_powerline_scene.py;simulation/isaac-sim/utils/hummingbird/cameras.py;simulation/isaac-sim/utils/hummingbird/test/test_camera_attach.py,286+/3-
Hummingbird,JohnYanxinLiu/Hummingbird-AirStack,Hummingbird-009,2026-08-18,commit_msg,https://github.com/JohnYanxinLiu/Hummingbird-AirStack/commit/034339f84f0834a72f9154aaf4fa591be1d583a5,034339f84f0834a72f9154aaf4fa591be1d583a5,parameter,high,sim_interactive,low,"GCS Takeoff button defaulted to 10 m; the saved Foxglove layout overrode the extension default, so the panel kept sending 10 m",Foxglove restores each panel's SAVED state over the extension default ... so the panel kept sending 10 m regardless,uncertain,"In a mocap room whose wire sits at ~2 m, a 10 m takeoff command flies the drone above the whole scene.",gcs/foxglove_extensions/robot-commands/dist/extension.js;gcs/foxglove_extensions/robot-commands/package.json,3+/2-
Hummingbird,JohnYanxinLiu/Hummingbird-AirStack,Hummingbird-010,2026-08-18,commit_msg,https://github.com/JohnYanxinLiu/Hummingbird-AirStack/commit/0ea27dc8b273a5723a08cff91021c69205b865ec,0ea27dc8b273a5723a08cff91021c69205b865ec,tf_frame,high,sim_interactive,high,"perch_task flew the world-frame latch point as if it were robot-frame, because PX4's local frame is boot-rooted rather than anchored by set_gps_origins","the world-frame LATCH_POINT_M was being flown as if it were robot-frame, putting the target ~1.5 m wide of the wire",yes,"The drone flies 1.5 m wide of the conductor on every attempt, so no latch is possible and the cause is not visible from the task's own logs.",robot/ros_ws/src/local/planners/perch_task/perch_task/approach.py;robot/ros_ws/src/local/planners/perch_task/perch_task/perch_task_node.py,93+/16- (whole commit; fixes multiple listed defects)
