sha	date	author	added	deleted	files	keyword_hit	subject
288694dffb24eca834a2afff32b57fcb8adaa341	2025-08-03	Seungchan (airstation-01)	2125	22	11	0	copied working branch of airstation01 for planner-develop branch of forked repo
82915fde96a9b4bff9d6ce49a34ecef0c6642c75	2025-08-06	Seungchan (airstation-01)	617	428	6	0	modularize behaviors; behavior-manager-tree
5a9199a650be2f3c95976808966758879b1b13d8	2025-08-07	Seungchan (airstation-01)	72	12	3	0	voxel-based behavior planning
2bf21a2b605da8f6c977e6122141fe23bcc23c67	2025-08-07	Seungchan (airstation-01)	59	93	2	0	voxel-behavior visualization publisher
59b8e8808a9be20addcaa4948387990110adcc40	2025-08-07	Seungchan (airstation-01)	12	9	1	1	ray-behavior fix on heading all same directions
fb1b9ffe46a5d31481b297cbd5b41ab3f35b248e	2025-08-13	Seungchan (airstation-01)	127	47	2	0	voxel-behavior refinement
f18f92e5ceffe6f738391b29dd6e9ed3e11cbc03	2025-08-17	Seungchan (airstation-01)	66	0	1	0	added neighborhood annotate origin script
d1f73821da677043ee1adfb7fa4e4bc9a3d91552	2025-08-18	Seungchan (airstation-01)	10	4	1	0	let robot chooses top 5 best frontier randomly
c4c4516e104aa00ec69eeb7426dbbdd122217ea2	2025-08-19	Seungchan (airstation-01)	153	0	2	0	annotating script for constructionsite/militarybase
7c57142760bcc18dbfbba5c2cd37bc559d640421	2025-08-22	Seungchan (airstation-01)	165	19	3	0	adding lvlm-guided behavior
36f030e1cc7190608844507d2f53503ada24c81c	2025-08-24	Seungchan (airstation-01)	15094	0	37	0	transformed annotations by starting_pos
462c443f400fa553937ad7bdab5a31d9eeeda15f	2025-08-24	Seungchan (airstation-01)	5013	0	9	0	raw annotations file (coordinate transform not applied)
b1be17508bae18ee9ee7d54cf74ce40c086d525d	2025-08-24	Seungchan (airstation-01)	45	0	1	0	abandoned factory annotations file
0f4455cf82006507ecc562af4403a80c9aad74c3	2025-08-24	Seungchan (airstation-01)	61	0	1	0	fireacademy annotation file
134221463775fff58dc9bcba7e589b99b6c70a57	2025-08-24	Seungchan (airstation-01)	33	0	1	0	moderncity downtown annotation file
