project,repo,defect_id,date,evidence_type,evidence_url,commit_sha,defect_class,class_confidence,discovery_venue,venue_confidence,description,evidence_quote,experiment_ruining_proposed,ruining_rationale,fix_files,fix_loc
SwarmCBF,castacks/AirStack,SwarmCBF-001,2026-06-10,commit_msg,https://github.com/castacks/AirStack/commit/06a1f6161dada08d50af121495148b030477c215,06a1f6161dada08d50af121495148b030477c215,remap_topic,medium,unknown,low,"ROS_DOMAIN_ID mismatch: robot container auto-derives domain 1, sim script and README used domain 0; services never discovered","-export ROS_DOMAIN_ID=0   # must match SVG_DOMAIN_ID of the sim script [...] +manually-started containers do NOT auto-derive the domain, so `export ROS_DOMAIN_ID=1` in every shell",no,"Mismatch blocks discovery at startup (service waits forever, no topics), so it surfaces before any flight.",robot/ros_ws/src/svg_ground_control/README.md (06a1f616); robot/docker/.bashrc (a46f04b5 hard-pin),15+/6- (06a1f616 README); 7+/0- (a46f04b5 .bashrc)
SwarmCBF,castacks/AirStack,SwarmCBF-002,2026-06-11,notes_file,https://github.com/castacks/AirStack/blob/11a1237f11ce23612068ea6fdf3229058a4f9091/robot/ros_ws/src/svg_ground_control/experiment.md,11a1237f11ce23612068ea6fdf3229058a4f9091,parameter,high,unknown,low,Empty YAML list could not override string-array params (teleop_drones/external_drones); node failed with 'parameter not initialized'; params made comma-separated strings,`The parameter 'X' is not initialized` | empty YAML list can't override a typed param — `teleop_drones`/`external_drones` are comma-separated STRINGS,no,Fails at node start-up with an explicit error; cannot reach a flight.,robot/ros_ws/src/svg_ground_control/svg_ground_control/swarm_commander.py; config/swarm_sim.yaml; config/swarm_real.yaml (11a1237f),swarm_commander.py 192+/106- (whole commit; feature commit containing the string-typed params); swarm_sim.yaml 26+/8-; swarm_real.yaml 26+/13-
SwarmCBF,castacks/AirStack,SwarmCBF-003,2026-06-11,notes_file,https://github.com/castacks/AirStack/blob/11a1237f11ce23612068ea6fdf3229058a4f9091/robot/ros_ws/src/svg_ground_control/experiment.md,11a1237f11ce23612068ea6fdf3229058a4f9091,parameter,medium,sim_interactive,medium,MAVROS never connected and no odometry: Isaac timeline not playing (.env PLAY_SIM_ON_START=false) so PX4 SITL never launched; default flipped to true,"MAVROS `connected: false`, no odometry topics | PX4 SITL not launched: Isaac timeline not playing (`PLAY_SIM_ON_START=true`, or press Play)",no,"Sim-only start-up condition; nothing flies until the timeline plays, so it blocks rather than ruins a session.",.env (c105a20d); robot/ros_ws/src/svg_ground_control/experiment.md (11a1237f troubleshooting row),.env 2+/2- (c105a20d)
SwarmCBF,castacks/AirStack,SwarmCBF-004,2026-06-11,commit_msg,https://github.com/castacks/AirStack/commit/2025934374b269af51564dadbe5c30a2276b64f8,2025934374b269af51564dadbe5c30a2276b64f8,logic,high,sim_interactive,medium,"Squeeze intruder was CBF-filtered like the holders; pair-constraint gradient pushed it backwards, so it stalled/retreated at the gap instead of crossing","Root cause of the reported failure (intruder turning back instead of squeezing through): only teleop drones were CBF-exempt, so an autonomous squeeze intruder was filtered like everyone else.",yes,The demo's central behavior (intruder forces holders to yield) did not happen; crossing took ~30 s marginal vs 4.9 s after the fix.,robot/ros_ws/src/svg_ground_control/svg_ground_control/swarm_commander.py; svg_ground_control/scenarios.py; config/squeeze_3drone.yaml; test/functional_squeeze_lag_test.py (new),swarm_commander.py 33+/14-; scenarios.py 19+/1-; squeeze_3drone.yaml 4+/0-; functional_squeeze_lag_test.py 171+/0-
SwarmCBF,castacks/AirStack,SwarmCBF-005,2026-06-12,commit_msg,https://github.com/castacks/AirStack/commit/6d0e206e809559e4ee188caa3861283a9a6feede,6d0e206e809559e4ee188caa3861283a9a6feede,tf_frame,high,sim_interactive,high,"Each PX4 SITL EKF origin is its spawn point; commander mixed local frames as one world frame; holders 2 m off, CBF saw phantom geometry","Bag analysis of squeeze_191528 (Isaac, 3 drones) showed every drone flying its commanded geometry PERFECTLY in its own frame and wrongly in the world: each PX4 SITL's EKF origin is its spawn point",yes,Silent: every drone looked correct in its own frame while the CBF missed a real 0.49 m near-miss and the intruder missed the gap entirely.,robot/ros_ws/src/svg_ground_control/svg_ground_control/swarm_commander.py; config/squeeze_3drone.yaml; config/swarm_sim.yaml; config/swarm_real.yaml; test/functional_squeeze_test.py; test/functional_squeeze_lag_test.py,swarm_commander.py 29+/1-; squeeze_3drone.yaml 13+/2-; swarm_sim.yaml 6+/1-; swarm_real.yaml 4+/0-; tests 39+/24-
SwarmCBF,castacks/AirStack,SwarmCBF-006,2026-06-20,notes_file,https://github.com/castacks/AirStack/blob/736b0564e7e61747d99027e927cc9a646e04dbc4/robot/ros_ws/src/svg_ground_control/experiment.md,a46f04b563a52b8f58aa761c99edccc938caa134,other,high,bench_hardware,medium,Robot container on Docker bridge network could not reach the drone's uXRCE-DDS link or Motive NatNet on the LAN: no /fmu/* or /<body>/pose topics,"hardware: can't reach the drone / Motive (no `/fmu/*`, no `/<body>/pose` topics) | the robot container is on the Docker **bridge** net, not your LAN. Set `robot-desktop` to `network_mode: host`",no,No topics at all during bring-up; blocks the session before any flight rather than ruining one in progress.,robot/docker/docker-compose.yaml (a46f04b5: network_mode: host); experiment.md troubleshooting row (736b0564),docker-compose.yaml 8+/7- (a46f04b5)
SwarmCBF,castacks/AirStack,SwarmCBF-007,2026-06-20,notes_file,https://github.com/castacks/AirStack/blob/736b0564e7e61747d99027e927cc9a646e04dbc4/robot/ros_ws/src/svg_ground_control/experiment.md,a46f04b563a52b8f58aa761c99edccc938caa134,build,high,bench_hardware,medium,MicroXRCEAgent binary absent from the robot Docker image ('command not found'); PX4 uXRCE-DDS client had no ground agent; agent baked into Dockerfile.robot,"`MicroXRCEAgent: command not found` | not shipped in the image — run the published `microros/micro-ros-agent:jazzy udp4 --port 8888` host container (B2), or build `MicroXRCEAgent` from source / bake into the robot image.",no,Missing dependency is visible on first invocation at the bench; a workaround container existed.,robot/docker/Dockerfile.robot (a46f04b5); experiment.md troubleshooting row (736b0564),Dockerfile.robot 19+/0- (a46f04b5)
SwarmCBF,castacks/AirStack,SwarmCBF-008,2026-06-21,commit_msg,https://github.com/castacks/AirStack/commit/f6441c5f5f84ea18a2e1202c0ce9efc85e4733f4,f6441c5f5f84ea18a2e1202c0ce9efc85e4733f4,parameter,high,unknown,low,"Geofence block placed under mocap_bridge instead of swarm_commander in swarm_real.yaml; fence parameters never reached the commander, geofence inert on hardware config",also move the misplaced geofence block from under mocap_bridge back under swarm_commander (it was inert on the real config),uncertain,A real-drone fence breach would not have latched the swarm-wide hold; whether a breach occurred while inert is not recorded.,robot/ros_ws/src/svg_ground_control/config/swarm_real.yaml,"16+/5- (whole file diff in f6441c5f, includes new px4_vio_* params)"
SwarmCBF,castacks/AirStack,SwarmCBF-009,2026-06-23,notes_file,https://github.com/castacks/AirStack/blob/94425c2518c714daa1cba3212da5d6305ce27ae6/robot/ros_ws/src/svg_ground_control/experiment.md,94425c2518c714daa1cba3212da5d6305ce27ae6,parameter,medium,bench_hardware,medium,"Takeoff and land worked but drone never moved to a goal: /start had been rejected (arrival_threshold_m not met or geofence latched), so goal-seeking never began","takeoff & land work but the drone **won't move to a goal** | goal-seeking needs a SUCCESSFUL `/start` (takeoff/land don't). [...] ""not all drones holding yet"" → loosen `arrival_threshold_m` or wait; ""geofence breached"" → `~/reset_fence` + widen fence",uncertain,"Drone hovered safely but the goal-tracking test did not proceed; cost is a stalled session, not a hazard.",robot/ros_ws/src/svg_ground_control/experiment.md,1+/0- (troubleshooting row; no code change)
SwarmCBF,castacks/AirStack,SwarmCBF-010,2026-06-23,commit_msg,https://github.com/castacks/AirStack/commit/a46f04b563a52b8f58aa761c99edccc938caa134,a46f04b563a52b8f58aa761c99edccc938caa134,parameter,high,bench_hardware,medium,"robot_interface_node read the 'interface' param then hard-coded MAVROS plugin; px4_interface never loaded, real DDS drones never subscribed to fmu/out/vehicle_odometry","Previously this was hardcoded to MAVROS, so the `interface` param was silently ignored and real (DDS) drones never subscribed to out/vehicle_odometry.",no,"Commander reports missing odometry and refuses takeoff, so it blocks at the bench before flight. Defect pre-dates the fork (present in upstream AirStack e4b499d1).",robot/ros_ws/src/interface/robot_interface/src/robot_interface_node.cpp,7+/1-
