project,repo,defect_id,date,evidence_type,evidence_url,commit_sha,defect_class,class_confidence,discovery_venue,venue_confidence,description,evidence_quote,experiment_ruining_proposed,ruining_rationale,fix_files,fix_loc
RAVEN,seungchan-kim/RayFronts,RAVEN-001,2025-08-07,commit_msg,https://github.com/seungchan-kim/RayFronts/commit/59b8e8808a9be20addcaa4948387990110adcc40,59b8e8808a9be20addcaa4948387990110adcc40,logic,high,unknown,low,"Ray behavior sliced ray origins instead of angles ([:,:3:] vs [:,3:]); every candidate heading pointed the same direction",ray-behavior fix on heading all same directions,uncertain,"Planner paths all pointed one way regardless of detected rays; observed as a behavior symptom, venue not recorded.",rayfronts/behaviors/ray_behavior.py,12+/9-
RAVEN,seungchan-kim/RayFronts,RAVEN-002,2025-08-18,commit_msg,https://github.com/seungchan-kim/RayFronts/commit/d1f73821da677043ee1adfb7fa4e4bc9a3d91552,d1f73821da677043ee1adfb7fa4e4bc9a3d91552,logic,medium,unknown,low,"Frontier viewpoint PointCloud2 builder appended points outside the for loop, so only the last viewpoint was published","points.append([x,y,z]) (diff: line re-indented into the for loop; commit message does not mention it)",no,Visualization-only publisher; planning used the viewpoint tensor directly.,rayfronts/behaviors/frontier_behavior.py,10+/4- (whole commit; also adds top-5 random frontier choice)
RAVEN,seungchan-kim/RayFronts,RAVEN-003,2025-08-25,commit_msg,https://github.com/seungchan-kim/RayFronts/commit/96b873146a800fda2e6c85662731d271237c6395,96b873146a800fda2e6c85662731d271237c6395,logic,high,unknown,low,"Ray-vs-cuboid intersection took the smallest positive slab crossing instead of the slab-method entry point, misplacing the approach waypoint",voxel behavior fix on surface point intersection of cuboid and robot pose ray,uncertain,Approach waypoint could land inside or beside the target cluster; effect on a run depends on geometry.,rayfronts/behaviors/voxel_behavior.py,24+/10-
RAVEN,seungchan-kim/RayFronts,RAVEN-004,2025-08-25,commit_msg,https://github.com/seungchan-kim/RayFronts/commit/5d058f158f795422a2ce4e2682a8907faa19c74e,5d058f158f795422a2ce4e2682a8907faa19c74e,logic,high,unknown,low,Ray behavior chained targets from every ray group into one path; robot was sent toward all detected directions at once,fixing ray_behavior to select one direction at a time,uncertain,Path visits every ray-group origin in sequence instead of the best one; degrades but does not abort a run.,rayfronts/behaviors/ray_behavior.py,85+/35-
RAVEN,seungchan-kim/RayFronts,RAVEN-005,2025-09-01,commit_msg,https://github.com/seungchan-kim/RayFronts/commit/3c909f85feff37154ad01333d57711b69773ec1b,3c909f85feff37154ad01333d57711b69773ec1b,logic,high,unknown,low,"LVLM behavior averaged ray directions over the wrong tensor axis (torch.mean dim=1 instead of dim=0), giving a wrong guidance direction",filter out rays behind; LVLM behavior fix,uncertain,Wrong-axis mean yields a malformed direction vector whenever LVLM guidance is active; venue not recorded.,rayfronts/behaviors/lvlm_behavior.py,20+/11- (lvlm_behavior.py; whole commit 41+/18- incl. ray_behavior tuning)
RAVEN,seungchan-kim/RayFronts,RAVEN-006,2025-09-01,commit_msg,https://github.com/seungchan-kim/RayFronts/commit/a057f1786829f77d6ba3b0e061b658b844e2759d,a057f1786829f77d6ba3b0e061b658b844e2759d,logic,high,unknown,low,VLFM baseline planner called misspelled align_spatiala_features_with_language and a nonexistent mapper attribute; crashed once a target was set,fixed vlfm planner,uncertain,Baseline crashes at its first planning step after a prompt; a comparison run restarts rather than silently degrading.,rayfronts/mapping_server_vlfm.py,8+/4-
RAVEN,castacks/RAVEN,RAVEN-007,2026-03-07,commit_msg,https://github.com/castacks/RAVEN/commit/9edc94470d13e034bd6398ecff7cb6b7cc374569,9edc94470d13e034bd6398ecff7cb6b7cc374569,parameter,medium,unknown,low,ConstructionSite scene launch applied STAGE_SCALE 1.0 to the stage prim; corrected to 0.01 (centimeter stage vs meter drone),fixed scale,uncertain,Scene rendered 100x too large relative to the drone; visible immediately in the sim viewport.,scenes/ConstructionSite_launch.py,1+/1-
RAVEN,castacks/RAVEN,RAVEN-008,2026-03-28,commit_msg,https://github.com/castacks/RAVEN/commit/d5e53f5f894a76450bef7e1c4cbef8ff3912b776,d5e53f5f894a76450bef7e1c4cbef8ff3912b776,build,medium,unknown,low,AirStack submodule gitlink was committed without a .gitmodules entry; recursive clone / submodule init of AirStack failed,airstack git module fix,no,Fails at clone or setup time before any run.,.gitmodules,4+/0-
RAVEN,castacks/AirStack,RAVEN-009,2026-04-26,commit_msg,https://github.com/castacks/AirStack/commit/1f48484c7270b3de884ba7b36a08d15a60f2048f,1f48484c7270b3de884ba7b36a08d15a60f2048f,parameter,medium,unknown,low,".env named the Isaac launch script AbandonedFactory_launch.py; installed files are *_Launch.py, so the isaac tmux pane ran a nonexistent script",fix typo in .env,no,Isaac Sim fails to start the scene at bring-up; visible in the isaac tmux pane.,.env,"1+/1- (.env; whole commit 7+/1-, fixes multiple listed defects)"
RAVEN,castacks/AirStack,RAVEN-010,2026-04-26,notes_file,https://github.com/castacks/AirStack/commit/1f48484c7270b3de884ba7b36a08d15a60f2048f,1f48484c7270b3de884ba7b36a08d15a60f2048f,parameter,high,unknown,low,isaac-sim compose env_file ./omni_pass.env is absent when the Nucleus token step is skipped; container startup errors; README adds a placeholder-file workaround,"If you encounter an error related to a missing `omni_pass.env` file during startup, you can safely create a placeholder file as a workaround",no,"Fails at container start before any run; documented workaround, no code fix.",docs/README.md,"6+/0- (docs/README.md; documented workaround, no code fix)"
RAVEN,seungchan-kim/RayFronts,RAVEN-011,2026-04-27,commit_msg,https://github.com/seungchan-kim/RayFronts/commit/cd5f9abfc773ed12e3be0697434cb1c25af7820c,cd5f9abfc773ed12e3be0697434cb1c25af7820c,build,medium,unknown,low,RayFronts Docker image lacked scikit-learn while frontier_behavior imports sklearn.cluster.DBSCAN; mapping server failed at import in a fresh container,added scikit-learn in dockerfile,no,Import error at node start; fails fast.,docker/desktop.Dockerfile,2+/1-
RAVEN,seungchan-kim/RayFronts,RAVEN-012,2026-04-27,commit_msg,https://github.com/seungchan-kim/RayFronts/commit/039f18ce3acc9e012d249ec497a57b2c9cfef4ef,039f18ce3acc9e012d249ec497a57b2c9cfef4ef,remap_topic,high,sim_interactive,medium,RayFronts subscribed depth on .../front_stereo/left/depth but the Pegasus ZED graph publishes .../left/depth_ground_truth; no depth frames reached the mapper,modified depth topic for isaac-sim config,yes,"Silent: no frames reach the mapper, so no map, no frontiers and no plan for the whole session.",rayfronts/configs/dataset/ros2isaacsim.yaml,1+/1-
RAVEN,castacks/AirStack,RAVEN-013,2026-04-27,commit_msg,https://github.com/castacks/RAVEN/commit/8bf4e59b237e23a6755fb8c6f3085a39514cd2ec,f7ca3698ed37c46e286812592b51a4204e15fe57,parameter,high,unknown,low,Simulated Ouster minimum range 0.75 m produced hallucinated obstacles for the local planner; raised to 3.5 m in all four scene scripts,lidar min range increase to avoid hallucinated obstacles,uncertain,Phantom obstacles perturb avoidance; RAVEN's own March scripts used 4.0 m 'to avoid propeller hits' and the April scene scripts regressed to the AirStack example default 0.75 m.,simulation/isaac-sim/launch_scripts/AbandonedFactory_Launch.py;simulation/isaac-sim/launch_scripts/ConstructionSite_Launch.py;simulation/isaac-sim/launch_scripts/FireAcademy_Launch.py;simulation/isaac-sim/launch_scripts/RetroNeighborhood_Launch.py;robot/ros_ws/src/robot_bringup/rviz/robot.rviz,14+/12- (4+/4- in the launch scripts; rviz display change in the same commit)
RAVEN,seungchan-kim/RayFronts,RAVEN-014,2026-04-29,commit_msg,https://github.com/seungchan-kim/RayFronts/commit/f6f030b28920e26182b850b26be13af5d2862fe6,f6f030b28920e26182b850b26be13af5d2862fe6,tf_frame,medium,unknown,low,Hard-coded 10 deg camera pitch extrinsic from the Spirit drone was still applied to Pegasus Iris poses whose camera has zero tilt; removed,"Previously, we used the Spirit drone and applied a fixed pitch offset because the camera was mounted with a downward tilt. That setup is now deprecated, and Pegasus is used for the code release.",uncertain,Every mapped point is tilted 10 deg about the camera axis; the run continues with a skewed map.,rayfronts/datasets/ros.py,10+/7- (ros.py; whole commit 15+/12- incl. parameter tuning)
RAVEN,seungchan-kim/RayFronts,RAVEN-015,2026-04-30,commit_msg,https://github.com/seungchan-kim/RayFronts/commit/7aaad2849d26c2f5f7391961e2540e8580c0bf46,7aaad2849d26c2f5f7391961e2540e8580c0bf46,remap_topic,high,unknown,low,input_prompt.py published /input_text while the mapping server had subscribed /input_prompt since 2025-08-22; operator prompts never arrived,input_text -> prompt,yes,Silent: with no target received the system stays in frontier-only exploration for the whole session.,input_prompt.py,1+/1- (input_prompt.py; whole commit 12+/15- incl. config rename and cleanup)
RAVEN,seungchan-kim/RayFronts,RAVEN-016,2026-05-05,commit_msg,https://github.com/seungchan-kim/RayFronts/commit/cc98a9fd8463a2c959d6c4dbf8d5c36c801443fc,cc98a9fd8463a2c959d6c4dbf8d5c36c801443fc,tf_frame,medium,unknown,low,"mission_checker drew ground-truth boxes with x/y swapped and negated (x=-center[1], y=center[0]); corrected to direct xyz",xyz axes directions for annotations,no,Affects the RViz ground-truth overlay only.,mission_checker.py,6+/6-
RAVEN,castacks/AirStack,RAVEN-017,2026-05-12,commit_msg,https://github.com/castacks/RAVEN/commit/698f4b7aaaae3f7feb7f99bfd7c5138500164f94,6b9c0d50921ed071e88ef1315c99e631b43fd260,parameter,medium,unknown,low,Drone spawn quaternion from launch_raven.sh was not applied: AirStack .env lacked DRONE_* defaults and was sourced after the per-environment pose block,minor fix on raven's argument on rotation degree init,uncertain,Drone spawns with the wrong initial yaw in scenes that need one (FireAcademy); mission start differs from the intended pose.,.env;launch_raven.sh,"8+/0- (.env, AirStack 6b9c0d5) + 3+/3- (launch_raven.sh, RAVEN 698f4b7)"
RAVEN,seungchan-kim/RayFronts,RAVEN-018,2026-05-22,commit_msg,https://github.com/seungchan-kim/RayFronts/commit/abcc6f69b90eeb3c7570097721ffbebcbbeab53c,abcc6f69b90eeb3c7570097721ffbebcbbeab53c,tf_frame,high,unknown,low,annotation_viz rotated world-frame ground-truth boxes by the drone spawn yaw; boxes appeared misoriented; now translate-only with per-box yaw,fixed yaw orientation for annotation visualization,no,Affects the RViz ground-truth overlay only.,annotation_viz.py,10+/20-
RAVEN,seungchan-kim/RayFronts,RAVEN-019,2026-05-23,commit_msg,https://github.com/seungchan-kim/RayFronts/commit/8d838d79e444a035b71865034e4c33020b981fc8,8d838d79e444a035b71865034e4c33020b981fc8,logic,high,unknown,low,"delete_queries left labels in _queries_labels_history, so a removed LVLM guiding label could never be re-added; add_queries silently skipped it",query label deletion/re-add problem fix,uncertain,LVLM guidance for a previously seen object is silently ignored for the rest of the run.,rayfronts/mapping_server_rosnode.py,4+/0-
