project,repo,defect_id,date,evidence_type,evidence_url,commit_sha,defect_class,class_confidence,discovery_venue,venue_confidence,description,evidence_quote,experiment_ruining_proposed,ruining_rationale,fix_files,fix_loc
DFM2,castacks/DontFoolMeTwice,DFM2-001,2025-08-23,commit_msg,https://github.com/castacks/DontFoolMeTwice/commit/5bbd2c56adb7fb5b5398f4a23798061934222a53,5bbd2c56adb7fb5b5398f4a23798061934222a53,timing_clock,medium,unknown,low,RGB frames were paired with the latest pose/depth instead of timestamp-matched ones; projected semantic voxels drifted off their objects; fix adds a tolerance-matched sync buffer,"Voxel Mapping works, need to fix drift (acb08de) -> Drift fix, will clean and optimise (5bbd2c5)",uncertain,"Mis-registered semantic voxels corrupt the cause map used downstream, but the messages do not say whether a run was lost.",config/combined_segmentation_config.yaml;resilience/semantic_info_bridge.py;scripts/depth_octomap_node.py;scripts/main.py,618+/99- (excl. .pyc)
DFM2,castacks/DontFoolMeTwice,DFM2-002,2025-09-10,commit_msg,https://github.com/castacks/DontFoolMeTwice/commit/0e284952f22da19ed7cf4ec83f0ab8710c252f86,0e284952f22da19ed7cf4ec83f0ab8710c252f86,timing_clock,medium,unknown,low,"GP fit was launched when the narration PCD was saved, before poses.npy existed (written only at buffer close); PCD could also land in the wrong buffer directory",(diff docstrings) Save poses continuously during breach so poses.npy is always available / Check if poses.npy is available before starting GP fit,uncertain,A skipped GP fit loses that breach's disturbance model; whether it aborted a session is not recorded.,resilience/risk_buffer.py;resilience/semantic_info_bridge.py;scripts/depth_octomap_node.py;scripts/main.py,127+/9-
DFM2,castacks/DontFoolMeTwice,DFM2-003,2025-09-12,commit_msg,https://github.com/castacks/DontFoolMeTwice/commit/85ceb9a68217931c0f001cd82787dbcdaab096d2,85ceb9a68217931c0f001cd82787dbcdaab096d2,logic,medium,unknown,low,"Semantic voxels reaching the costmap from both direct mapping and narration were counted twice, inflating costmap density; fix deduplicates within half a voxel and revoxelizes",(diff comment) Remove duplicate voxels to avoid double counting. This happens when the same semantic voxels come from both direct mapping and narration,uncertain,Inflated cost around a cause biases avoidance but does not stop a run.,resilience/gp_evolution_visualizer.py;resilience/gp_superposition_manager.py;scripts/depth_octomap_node.py,529+/948- (whole commit; mostly costmap rework)
DFM2,castacks/DontFoolMeTwice,DFM2-004,2026-01-03,commit_msg,https://github.com/castacks/DontFoolMeTwice/commit/9a580c08927d4fb681bf7a4b32a94c0cd8f5cd71,9a580c08927d4fb681bf7a4b32a94c0cd8f5cd71,build,high,unknown,low,cmake_minimum_required(VERSION 3.8) rejected by the build toolchain; resilience package failed to configure until bumped to 3.10,Bump cmake version to fix min version error,no,Fails at colcon build before anything runs.,.gitignore;CMakeLists.txt,6+/2-
DFM2,castacks/airstack-dfm2,DFM2-005,2026-02-10,ci_run,https://github.com/castacks/airstack-dfm2/actions/runs/21875848911,784b5c08ec6ecd91b41aa5c0d254820eb611de6a,build,low,unknown,low,"docker-build job failed on the only push-triggered CI run where DOCKER_IMAGE_TAG changed (0.16.1-rc to 0.0.1, after Dockerfile.robot gained DFM2 deps); log expired; never rebuilt; no fix commit",(gh run view JSON) workflowName: Auto Build on Docker Image Tag Change; jobs: docker-build conclusion failure; notify conclusion failure,no,An image-build failure surfaces before any session starts.,n/a (unfixed; docker-build never re-ran because DOCKER_IMAGE_TAG stayed 0.0.1 through the tip),n/a
DFM2,castacks/airstack-dfm2,DFM2-006,2026-02-12,commit_msg,https://github.com/castacks/airstack-dfm2/commit/a2708e5fc04c77df9015c6f1b142af9c3ec53ffb,a2708e5fc04c77df9015c6f1b142af9c3ec53ffb,tf_frame,medium,unknown,low,Arrow visualization prims kept world-frame position/direction after being reparented under the force field's rotated xform (5d85f8bd); arrows drawn displaced and misoriented,Fix arrows and conical force field,no,Debug visualization only; the applied force is computed separately.,simulation/isaac-sim/scene_library/physics/force_fields/base.py;simulation/isaac-sim/scene_library/physics/force_fields/conical.py,36+/14- (whole commit; also fixes DFM2-007)
DFM2,castacks/airstack-dfm2,DFM2-007,2026-02-12,commit_msg,https://github.com/castacks/airstack-dfm2/commit/a2708e5fc04c77df9015c6f1b142af9c3ec53ffb,a2708e5fc04c77df9015c6f1b142af9c3ec53ffb,logic,medium,unknown,low,"Cone visualization translated +height/2 assuming a USD Cone has its apex at the origin; USD cones are centred, so the drawn cone sat offset and inverted relative to the field apex",Fix arrows and conical force field,no,Debug visualization only; the applied force is computed separately.,simulation/isaac-sim/scene_library/physics/force_fields/conical.py,36+/14- (whole commit; also fixes DFM2-006)
DFM2,castacks/airstack-dfm2,DFM2-008,2026-02-12,commit_msg,https://github.com/castacks/airstack-dfm2/commit/d9ccd6600d138108b771a9624427951a173c055f,d9ccd6600d138108b771a9624427951a173c055f,other,low,unknown,low,"Box-fan USD assets carried wrong orientation properties, so the fan model faced the wrong way when placed as a force-field source (binary asset edit)",Fix box fan orientation properties,no,Visual source model only.,simulation/isaac-sim/assets/objects/box_fan.usd;simulation/isaac-sim/assets/objects/box_fan_spinning.usd;simulation/isaac-sim/assets/objects/box_fan_spinning_2.usd (deleted),0+/0- (binary USD assets)
DFM2,castacks/airstack-dfm2,DFM2-009,2026-02-12,commit_msg,https://github.com/castacks/airstack-dfm2/commit/341e9e172419f9840a34091b01af08d57ca9dee3,341e9e172419f9840a34091b01af08d57ca9dee3,tf_frame,medium,unknown,low,SphericalForceField rotated its source visual toward the force direction on top of a parent xform already oriented that way; fan visual was doubly rotated,Fix orientation to inherit from parent,no,Visual source model only.,simulation/isaac-sim/launch_scripts/example_px4_pegasus_with_fan_force_field.py;simulation/isaac-sim/scene_library/physics/force_fields/README.md;simulation/isaac-sim/scene_library/physics/force_fields/__init__.py;simulation/isaac-sim/scene_library/physics/force_fields/spherical.py,26+/21-
DFM2,castacks/airstack-dfm2,DFM2-010,2026-02-12,commit_msg,https://github.com/castacks/airstack-dfm2/commit/fa089a78e32a96aead38b28a83f6e6f8cc370e9c,fa089a78e32a96aead38b28a83f6e6f8cc370e9c,other,low,unknown,low,"Fan blade prims in the box_fan USD assets were not parented to the fan body, so the blades did not move with the fan (binary asset edit)",Fix fan blades not staying with fan,no,Visual source model only.,simulation/isaac-sim/assets/objects/box_fan.usd;simulation/isaac-sim/assets/objects/box_fan_spinning.usd,0+/0- (binary USD assets)
